Random waveform, random seed
Total number of intervals = 120 (18196, 35822, 61511, 61621, 10539, 74189, 84582, 36624, 101188, 43639, 87660, 11243, 41403, 101332, 44465, 109829, 59431, 57576, 73122, 106253, 25640, 96000, 101920, 68835, 85818, 27489, 91056, 67865, 55517, 9373, 17568, 94778, 39420, 56331, 36451, 36314, 38807, 43826, 84756, 25657, 65953, 51233, 35140, 52758, 52288, 29275, 68173, 98962, 20346, 56401, 57647, 12488, 79384, 45561, 51300, 9432, 51788, 20942, 96784, 60378, 26721, 93799, 72159, 98191, 76135, 38269, 33616, 54334, 85064, 62453, 34528, 52446, 61339, 9815, 94480, 71456, 43963, 83603, 77143, 66213, 11458, 93899, 80334, 40006, 35634, 61549, 67807, 33097, 43262, 63233, 17081, 98710, 84526, 52092, 101609, 82896, 64878, 45989, 104485, 16075, 82106, 11126, 75301, 97222, 69130, 107642, 54595, 61711, 56960, 10185, 13592, 41967, 28650, 68104, 92058, 104408, 92701, 96280, 83223, 87127)
Average QPS expected = 59235
Timestamp start: 1778408485571
Timestamp end: 1778410285882

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      279.4    90.8    93.8   171.4   184.0   265.1   311.0   335.6   351.9   369.5   391.3   423.1   500.2   685.7  2542.8  84544.2    84526
read      283.9    92.7    93.8   173.7   186.8   277.1   320.4   340.2   353.6   368.1   387.2   415.7   485.6   639.4  2098.6  52046.3    52092
read      282.6    94.0    86.8   174.0   186.8   267.5   311.2   335.7   352.7   371.6   395.3   430.6   532.2   794.3  2095.3 101630.1   101609
read      279.1    91.2    93.8   171.1   183.6   264.8   311.0   335.5   351.7   369.1   390.6   422.0   500.1   727.3  2239.3  82869.9    82896
read      285.0    95.2   101.3   172.4   185.3   273.7   320.8   342.9   357.7   373.0   393.8   425.4   516.9   794.5  2401.7  64786.0    64878
read      284.1    83.8    86.8   174.6   188.2   282.1   320.9   338.4   349.8   363.5   379.0   403.2   469.5   677.7  2010.6  45938.5    45989
read      283.4    95.2    80.4   174.3   187.4   268.0   311.5   336.1   353.3   372.4   396.4   432.2   535.8   783.0  2475.2 104481.8   104485
read      268.2    66.2   101.3   181.1   196.7   268.7   289.9   300.8   309.4   318.1   331.8   351.3   406.8   559.2  2372.0  16057.3    16075
read      280.2    97.7    93.8   171.2   183.9   265.9   312.5   336.9   353.2   370.5   392.1   423.5   501.0   689.0  2895.6  82139.9    82106
read      259.9    86.7   109.4   180.7   196.0   258.8   277.8   288.5   295.2   305.1   316.6   337.9   394.6   560.4  3798.1  11147.1    11126
read      278.4    90.4    93.8   170.1   182.7   265.4   312.7   336.4   351.8   368.3   388.6   417.7   488.2   672.2  2245.1  75120.7    75301
read      277.5    91.6    93.8   171.1   183.7   262.8   306.6   331.1   347.6   366.6   389.1   421.9   503.8   723.7  2195.7  97152.7    97222
read      279.5    90.6    80.4   170.6   183.3   267.8   315.0   337.7   352.5   368.3   388.0   416.1   486.0   665.8  2380.4  69135.7    69130
read      285.5    97.0    93.8   175.5   188.8   270.6   313.5   337.8   354.9   373.8   397.9   433.7   538.5   807.2  2452.1 107822.1   107642
read      281.7    85.5    86.8   172.6   185.6   276.1   319.9   339.2   352.0   366.1   383.4   406.7   466.9   601.7  2156.6  54630.8    54595
read      280.9    94.1    93.8   171.6   184.5   271.9   318.0   338.9   352.6   367.3   385.5   410.8   471.6   673.6  2746.1  61582.6    61711
read      282.2    86.5    93.8   172.2   185.2   275.1   320.1   339.9   353.2   367.5   385.8   411.6   477.7   662.4  2092.7  56955.7    56960
read      259.6    79.0   101.3   180.8   195.9   258.1   276.6   287.6   294.4   304.2   316.3   338.4   400.4   590.5  3127.7  10206.2    10185
read      266.4    69.6   109.4   182.5   198.3   265.7   286.5   296.8   305.8   315.2   328.1   348.1   406.8   570.0  2420.2  13575.5    13592
read      287.6    88.9    93.8   175.9   189.4   286.1   323.7   341.1   353.5   367.4   385.6   413.2   484.1   671.8  2601.9  41963.3    41967
read      278.8    80.9   101.3   178.9   193.3   281.3   308.4   320.6   330.6   340.7   354.4   373.9   431.4   605.5  3044.1  28714.4    28650
read      280.1    98.9    93.8   171.2   183.8   268.4   315.7   338.2   352.9   368.6   388.4   416.7   482.9   683.3  2452.7  68204.3    68104
read      281.6    92.9    93.8   173.6   186.1   266.9   311.7   336.2   352.9   371.1   393.7   426.9   514.4   736.0  1994.0  92027.3    92058
read      285.6   104.2    86.8   175.1   188.2   269.6   313.4   338.1   355.4   374.2   398.4   434.6   546.5   876.3  3096.8 104384.9   104408
read      276.8    95.3    86.8   171.0   183.2   261.8   306.7   331.3   347.6   366.0   387.9   419.6   499.4   712.2  2331.1  92707.9    92701
read      280.1    96.4    86.8   173.5   185.7   265.5   309.7   334.2   350.9   369.4   391.8   424.4   505.2   755.1  1993.0  96276.7    96280
read      278.5    90.5    86.8   171.2   183.4   264.3   311.0   335.5   351.6   369.0   390.3   421.1   496.1   680.1  2230.9  83173.9    83223
read      279.4   103.7    86.8   172.6   184.9   264.9   310.4   334.9   351.2   368.8   390.2   421.1   496.5   708.6  2795.9  87097.2    87127

Total QPS = 59241.6 (106634824 / 1800.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 26338800787 bytes :   14.0 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 100.00%,49.75%,100.00%
