Random waveform, random seed
Total number of intervals = 120 (30791, 31616, 50769, 7057, 41381, 44185, 23177, 65077, 28062, 60607, 88124, 40638, 59694, 78113, 99310, 95000, 96501, 30992, 56828, 106080, 52414, 39816, 101506, 30559, 20973, 88000, 47947, 40253, 94352, 29332, 88303, 107513, 93120, 107015, 17017, 64172, 51842, 85691, 91307, 94526, 109425, 87706, 52117, 97496, 50989, 42439, 80425, 10577, 80828, 52257, 41244, 50042, 82346, 48066, 43897, 11554, 12389, 87616, 105888, 81789, 37732, 34935, 73806, 54451, 44395, 93880, 69477, 73697, 16901, 5183, 47578, 45051, 85088, 39484, 79682, 17436, 76254, 33821, 29295, 95603, 49952, 44134, 13631, 62088, 102267, 16120, 105389, 98941, 78770, 109400, 101101, 54552, 73956, 64143, 94971, 30793, 79164, 27293, 41071, 93528, 34982, 20922, 65233, 39877, 70061, 17874, 85810, 104980, 41880, 30253, 20470, 39085, 104846, 100619, 46182, 104060, 12356, 66765, 50357, 26809)
Average QPS expected = 59893
Timestamp start: 1778343095017
Timestamp end: 1778344895336

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      256.0   120.7    74.4   122.5   135.9   234.8   292.7   323.1   345.4   372.2   405.9   457.7   556.1   752.3  3244.2  69381.6    69477
read      258.2   123.5    74.4   122.5   136.0   234.1   292.6   323.9   346.9   375.3   412.9   470.4   593.8   878.1  2719.6  73844.0    73697
read      264.2    83.0    80.4   155.0   174.8   261.4   291.3   307.9   319.1   334.2   352.3   381.2   440.8   549.3  2340.5  16933.9    16901
read      242.1   105.3    86.8   162.8   176.5   234.2   257.3   270.6   280.4   292.3   308.6   335.0   399.3  1224.3  3995.3   5172.4     5183
read      262.5   106.9    74.4   127.6   141.9   254.3   304.8   330.5   348.2   369.4   395.5   433.0   509.2   638.1  2599.2  47597.3    47578
read      263.4   101.8    74.4   129.1   143.8   256.9   305.7   330.4   347.3   368.0   393.4   430.3   504.6   636.2  1642.7  45073.1    45051
read      255.9   131.6    74.4   122.9   136.0   227.9   285.5   317.3   341.4   371.5   412.6   477.2   621.4   901.8  3200.1  84940.7    85088
read      266.0   105.3    74.4   131.4   146.9   261.1   306.8   330.4   346.5   366.5   390.8   426.6   501.6   641.3  3124.2  39503.2    39484
read      257.6   132.0    74.4   122.6   136.0   230.5   288.7   320.5   344.8   374.4   414.2   475.8   618.5   957.8  3151.8  79632.0    79682
read      261.5    79.0    74.4   150.7   170.3   259.2   289.9   306.5   317.8   332.6   350.1   379.1   437.8   557.1  1876.3  17471.3    17436
read      254.3   119.7    74.4   121.6   134.6   229.9   287.4   318.5   341.8   370.3   407.3   465.5   588.4   855.2  2374.2  76187.9    76254
read      268.2    95.2    74.4   135.8   152.2   265.8   307.5   329.0   343.8   362.3   384.8   418.3   487.6   615.0  2019.6  33791.1    33821
read      266.7   101.4    74.4   138.3   155.5   265.3   303.1   322.6   337.1   353.5   373.8   404.9   469.4   583.5  2855.0  29312.9    29295
read      262.2   149.5    74.4   122.5   135.9   226.2   283.6   316.6   342.5   377.1   429.2   517.5   750.7  1345.1  3401.4  95604.5    95603
read      262.7   109.6    74.4   126.6   140.8   253.1   304.6   331.1   349.5   371.5   399.1   439.8   525.5   674.9  2449.6  50037.3    49952
read      266.8   116.8    74.4   129.3   144.2   259.5   307.7   332.6   349.9   370.7   397.1   435.3   521.1   879.1  2741.4  44225.6    44134
read      259.4   114.6    80.4   156.8   176.2   254.3   282.4   297.3   309.4   321.7   340.2   368.7   432.7   845.0  5479.6  13624.5    13631
read      257.9   110.1    74.4   124.1   137.9   240.8   296.6   326.2   347.2   372.3   403.3   451.5   544.3   694.2  1936.3  61994.5    62088
read      272.4   156.9    74.4   127.0   140.8   233.7   290.1   324.2   352.3   390.2   446.2   543.5   824.0  1425.7  2957.0 102366.5   102267
read      259.7    75.3    74.4   153.0   172.9   256.9   286.4   302.3   314.1   328.2   345.4   373.4   433.6   562.1  2105.4  16105.5    16120
read      270.2   160.5    74.4   125.7   139.6   229.9   285.6   319.3   346.6   385.6   443.8   547.6   845.1  1428.7  3261.8 105456.5   105389
read      262.6   145.7    68.9   124.9   138.6   228.3   284.1   316.7   342.2   375.7   426.2   510.7   730.4  1232.8  3422.4  98937.5    98941
read      253.7   123.7    74.4   122.5   135.7   228.7   285.6   316.8   340.0   368.4   404.5   463.2   586.4   836.6  3077.6  78785.7    78770
read      279.1   185.0    74.4   128.2   142.2   233.6   289.7   324.1   352.7   392.5   453.8   570.7   956.2  1908.9  4442.2 109262.4   109400
read      264.3   154.9    74.4   123.9   137.6   226.5   282.4   315.4   341.5   376.1   429.3   524.5   807.9  1425.6  2881.4 101027.8   101101
read      260.6   107.0    74.4   126.2   140.3   248.0   302.4   330.3   349.6   372.1   400.1   441.3   525.2   660.1  1619.3  54578.4    54552
read      253.8   115.1    74.4   122.2   135.4   230.5   288.3   319.2   342.1   369.5   404.1   459.5   572.2   804.9  2274.1  74000.9    73956
read      257.5   119.2    74.4   123.4   137.0   238.2   294.9   324.5   345.7   371.3   403.4   453.9   553.3   840.2  2892.9  64103.9    64143
read      259.4   140.1    74.4   123.0   136.4   225.9   282.3   315.1   340.6   373.4   421.9   503.2   716.3  1192.4  2668.8  94943.6    94971
read      266.8    95.2    74.4   138.3   155.1   265.0   304.0   324.3   339.1   356.3   376.7   408.4   472.6   584.8  2360.5  30866.2    30793
read      254.7   122.1    74.4   123.4   136.8   229.5   286.6   318.0   341.4   369.9   407.0   465.6   587.4   799.2  3050.4  79136.6    79164
read      269.4    94.3    74.4   143.6   161.7   267.8   304.6   323.5   337.8   353.9   373.3   403.2   467.3   582.6  2414.6  27303.2    27293
read      269.2   100.3    74.4   134.5   150.5   264.2   309.9   333.7   350.1   369.7   394.5   430.9   505.3   642.3  2247.1  41080.6    41071
read      262.3   143.0    74.4   123.8   137.6   228.9   285.8   318.4   344.1   377.6   426.5   508.1   720.2  1214.9  2932.9  93652.5    93528
read      267.7   103.9    74.4   134.4   150.7   265.1   307.2   329.0   344.2   362.7   385.4   419.7   489.1   617.9  3075.5  34981.3    34982
read      265.6    87.1    80.4   147.1   166.4   263.6   296.1   314.0   326.5   341.4   361.6   391.6   455.0   580.8  2237.2  20966.9    20922
read      257.2   115.3    74.4   123.2   136.7   237.7   295.1   325.5   347.1   373.0   405.0   454.6   549.8   743.3  2503.1  65299.1    65233
read      265.9   100.3    74.4   131.7   147.4   261.5   306.8   330.2   346.1   366.1   390.4   426.2   500.0   634.3  2306.1  39846.1    39877
read      262.6   146.9    74.4   124.2   137.9   237.2   295.4   327.4   350.6   378.7   415.2   469.9   607.2  1413.6  4001.5  70045.7    70061
read      266.1    79.2    80.4   152.7   172.8   264.2   294.8   311.7   323.1   338.1   356.7   385.9   447.5   552.9  2011.6  17894.1    17874
read      253.2   126.4    74.4   122.2   135.3   225.6   282.7   314.7   338.8   368.6   408.3   471.0   607.1   875.5  2512.9  85747.7    85810
read      265.7   173.9    74.4   124.1   137.8   226.1   281.7   315.1   341.4   377.0   432.2   533.1   815.9  1550.9  3718.2 104947.3   104980
read      265.2   103.6    74.4   130.9   146.1   259.9   307.2   331.3   347.8   367.7   392.3   428.0   498.7   615.8  2428.1  41980.2    41880
read      269.8    92.0    80.4   139.5   156.7   268.0   307.6   328.2   342.6   360.1   381.2   413.2   481.3   628.5  1996.3  30196.2    30253
read      265.1    85.7    74.4   149.2   168.2   263.4   295.4   312.8   324.7   339.4   358.4   387.2   445.9   552.7  2693.2  20506.0    20470
read      269.5   127.3    74.4   133.1   149.3   263.7   309.4   332.8   348.8   368.2   392.4   428.2   504.5   886.2  5199.7  39060.1    39085
read      267.1   156.1    74.4   126.2   139.8   228.8   284.1   317.1   343.4   379.1   433.2   530.7   808.8  1473.8  3087.9 104731.4   104846
read      269.6   170.0    74.4   125.6   139.2   229.1   285.8   319.3   345.9   383.0   437.8   538.4   846.4  1653.5  4613.5 100578.3   100619
read      264.2   110.8    74.4   129.2   143.8   256.6   306.9   332.3   349.8   370.4   395.9   432.8   507.6   630.8  2624.7  46278.3    46182
read      270.6   177.0    74.4   125.3   139.0   228.2   283.5   316.8   343.3   379.4   434.1   537.0   927.2  1959.2  3424.4 104123.7   104060
